epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,934.985,1.11919,0.56281,0.86427,0.95698,0.97835,0.99114,0.676,0.9375,0.74006,0.71604,0.0011684,0.0011684,0.0011684
44,962.617,1.12108,0.55907,0.86798,0.97849,0.96537,0.9903,0.68585,0.88121,0.61247,0.70714,0.0011486,0.0011486,0.0011486
45,991.069,1.12096,0.55135,0.85633,0.9842,0.94805,0.98777,0.66535,0.9497,0.73019,0.71974,0.0011288,0.0011288,0.0011288
46,1015.93,1.12101,0.55411,0.86015,0.97263,0.92294,0.97974,0.59698,1.06799,0.54745,0.73092,0.001109,0.001109,0.001109
47,1039.78,1.11123,0.56081,0.85566,0.9905,0.95671,0.99186,0.65043,0.98589,0.55517,0.71869,0.0010892,0.0010892,0.0010892
48,1062.52,1.11784,0.54733,0.847,0.96492,0.95272,0.99205,0.65871,0.94747,0.46109,0.71838,0.0010694,0.0010694,0.0010694
49,1088.13,1.12761,0.56054,0.84835,0.99064,0.94805,0.98852,0.65415,0.94467,0.47756,0.7123,0.0010496,0.0010496,0.0010496
50,1113.26,1.08616,0.54921,0.83828,0.97811,0.96707,0.99304,0.6795,0.8672,0.45595,0.70819,0.0010298,0.0010298,0.0010298
51,1138.25,1.10321,0.55265,0.85667,0.97793,0.99134,0.99376,0.67394,0.89374,0.54205,0.71221,0.00101,0.00101,0.00101
52,1163.81,1.05465,0.52416,0.82795,0.97852,0.9697,0.99308,0.67507,0.92597,0.46373,0.7123,0.0009902,0.0009902,0.0009902
53,1189.68,1.08824,0.54902,0.85593,0.9823,0.96537,0.99193,0.68812,0.91173,0.52099,0.71101,0.0009704,0.0009704,0.0009704
54,1214.56,1.10481,0.54797,0.85188,0.98185,0.96537,0.99088,0.64995,0.9837,0.8056,0.71736,0.0009506,0.0009506,0.0009506
55,1238.67,1.0443,0.51718,0.83667,0.96879,0.96104,0.98626,0.63119,0.997,0.7886,0.72521,0.0009308,0.0009308,0.0009308
56,1264.64,1.04534,0.52042,0.83368,0.97727,0.9306,0.97326,0.61556,0.99346,0.54511,0.7228,0.000911,0.000911,0.000911
57,1289.2,1.08029,0.53286,0.8513,0.98218,0.95422,0.98614,0.65824,0.92363,0.67256,0.71283,0.0008912,0.0008912,0.0008912
58,1316.04,1.04952,0.51968,0.83867,0.98064,0.94805,0.97473,0.67525,0.90646,0.52099,0.71012,0.0008714,0.0008714,0.0008714
59,1341.99,1.08574,0.53231,0.8298,0.97795,0.96012,0.9803,0.6486,1.01432,0.56508,0.72263,0.0008516,0.0008516,0.0008516
60,1367.49,1.07549,0.52594,0.84748,0.98171,0.95671,0.98611,0.6658,0.94901,0.45992,0.71464,0.0008318,0.0008318,0.0008318
61,1390.75,1.09208,0.51072,0.85525,0.97808,0.96599,0.98406,0.67735,0.90927,0.54673,0.70776,0.000812,0.000812,0.000812
62,1412.63,1.03062,0.50096,0.84921,0.99549,0.9548,0.99122,0.66613,0.95121,0.47526,0.7163,0.0007922,0.0007922,0.0007922
63,1434.74,0.97143,0.47842,0.83208,0.9809,0.96104,0.9865,0.67972,0.93237,0.44684,0.71031,0.0007724,0.0007724,0.0007724
64,1456.77,0.98707,0.48791,0.82052,0.98231,0.96104,0.99121,0.65541,0.94467,0.48569,0.71581,0.0007526,0.0007526,0.0007526
65,1478.57,1.04147,0.51107,0.84774,0.97265,0.97835,0.9899,0.66139,0.96908,0.84575,0.71796,0.0007328,0.0007328,0.0007328
66,1500.36,0.97459,0.47461,0.82494,0.981,0.96537,0.98972,0.67498,0.90275,0.48587,0.70736,0.000713,0.000713,0.000713
67,1524.28,1.02445,0.49045,0.82966,0.9932,0.94372,0.9862,0.64486,0.98612,0.63542,0.71969,0.0006932,0.0006932,0.0006932
68,1549.51,1.01221,0.50521,0.84476,0.98222,0.95684,0.99,0.65292,0.94771,0.55553,0.71462,0.0006734,0.0006734,0.0006734
69,1574.37,0.99638,0.48148,0.84047,0.96972,0.97057,0.99196,0.67105,0.8966,0.75442,0.70841,0.0006536,0.0006536,0.0006536
70,1599.38,0.99999,0.48291,0.85261,0.98258,0.97676,0.99183,0.70734,0.81013,0.53421,0.69782,0.0006338,0.0006338,0.0006338
71,1622.69,0.98916,0.46955,0.81846,0.98677,0.96876,0.99126,0.66453,0.9255,0.49777,0.7129,0.000614,0.000614,0.000614
72,1644.43,0.97768,0.47664,0.83169,0.98244,0.96901,0.99091,0.6444,0.97587,0.49408,0.72122,0.0005942,0.0005942,0.0005942
73,1666.11,0.9663,0.47086,0.8351,0.99122,0.97764,0.99077,0.68124,0.86259,0.44257,0.70434,0.0005744,0.0005744,0.0005744
