epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,296.195,1.53676,13.7671,1.08552,0.92942,0.83007,0.91782,0.5447,0.95661,18.1537,0.80101,0.000663704,0.000663704,0.000663704
2,356.312,1.52357,4.09378,1.13651,0.89872,0.81948,0.87872,0.51091,1.05319,8.38521,0.84413,0.00131939,0.00131939,0.00131939
3,414.678,1.51892,2.76994,1.13484,0.95038,0.82316,0.9135,0.53635,1.01814,1.17187,0.82781,0.00196409,0.00196409,0.00196409
4,473.394,1.56229,1.73421,1.16052,0.97374,0.81948,0.88631,0.51407,1.08834,2.46494,0.86651,0.0019505,0.0019505,0.0019505
5,531.449,1.46104,1.57988,1.12321,0.95008,0.851,0.92763,0.54971,0.96463,5.69791,0.81997,0.001934,0.001934,0.001934
6,589.207,1.44195,1.31693,1.09728,0.86638,0.851,0.91916,0.57027,0.92204,3.21199,0.80461,0.0019175,0.0019175,0.0019175
7,646.872,1.46623,1.23146,1.12681,0.93739,0.86246,0.90488,0.56905,0.93126,3.02621,0.79222,0.001901,0.001901,0.001901
8,704.502,1.43085,1.05488,1.09604,0.937,0.85387,0.92564,0.54097,0.919,0.97312,0.79153,0.0018845,0.0018845,0.0018845
9,762.476,1.32441,1.0302,1.04328,0.94081,0.81974,0.90069,0.54416,0.97483,0.77947,0.80613,0.001868,0.001868,0.001868
10,820.355,1.35902,0.98812,1.05424,0.9824,0.89112,0.94315,0.60589,0.86318,1.62155,0.76365,0.0018515,0.0018515,0.0018515
11,878.923,1.37208,0.91108,1.06747,0.95031,0.90544,0.96563,0.63164,0.8488,1.44103,0.76487,0.001835,0.001835,0.001835
12,936.989,1.30828,0.99965,1.03862,0.93709,0.90544,0.94728,0.60166,0.92443,2.80426,0.78975,0.0018185,0.0018185,0.0018185
13,995.306,1.30558,0.89402,1.03804,0.98159,0.91667,0.96275,0.64596,0.81546,2.62332,0.7468,0.001802,0.001802,0.001802
14,1053.27,1.28437,0.847,1.03086,0.96483,0.94269,0.97696,0.63303,0.83841,0.82796,0.75342,0.0017855,0.0017855,0.0017855
15,1110.68,1.27469,0.84428,1.03894,0.94338,0.90544,0.95981,0.62308,0.84374,0.85855,0.76631,0.001769,0.001769,0.001769
16,1168.37,1.27311,0.76007,1.03113,0.95748,0.94556,0.96967,0.64435,0.80117,2.71136,0.73916,0.0017525,0.0017525,0.0017525
17,1225.92,1.21399,0.72295,1.01615,0.95974,0.91691,0.96628,0.6317,0.86482,0.6238,0.76517,0.001736,0.001736,0.001736
18,1283.62,1.23662,0.76191,1.02103,0.96152,0.91404,0.96544,0.58622,0.91361,0.78467,0.77827,0.0017195,0.0017195,0.0017195
19,1341.28,1.23966,0.72981,1.01714,0.96991,0.89971,0.95588,0.61732,0.85573,0.80629,0.76294,0.001703,0.001703,0.001703
20,1399.23,1.25472,0.7327,1.01914,0.94125,0.90831,0.9485,0.5911,0.8837,1.21863,0.77063,0.0016865,0.0016865,0.0016865
