epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,844.855,1.40293,0.61378,0.81882,0.97539,0.96104,0.98874,0.61226,1.0909,0.83858,0.683,0.0011684,0.0011684,0.0011684
44,864.327,1.39246,0.6037,0.81202,0.99064,0.91626,0.96661,0.52051,1.25871,0.81168,0.69595,0.0011486,0.0011486,0.0011486
45,883.769,1.39552,0.60059,0.80992,0.96049,0.94717,0.98578,0.56466,1.14267,0.68087,0.68617,0.0011288,0.0011288,0.0011288
46,903.173,1.41817,0.60285,0.82459,0.97231,0.96104,0.97689,0.54498,1.21639,0.57201,0.68965,0.001109,0.001109,0.001109
47,922.689,1.41499,0.60368,0.81693,0.97002,0.98056,0.98919,0.57839,1.16872,0.61865,0.68707,0.0010892,0.0010892,0.0010892
48,942.306,1.42849,0.60639,0.80627,0.98026,0.95671,0.98962,0.62327,1.04478,0.53954,0.67467,0.0010694,0.0010694,0.0010694
49,962.135,1.33148,0.57086,0.79583,0.978,0.96223,0.98711,0.56499,1.16106,1.04092,0.6835,0.0010496,0.0010496,0.0010496
50,981.537,1.32093,0.57173,0.79388,0.96662,0.97835,0.99063,0.61991,1.02655,0.83502,0.67278,0.0010298,0.0010298,0.0010298
51,1000.98,1.3736,0.60618,0.81739,0.97529,0.9697,0.99141,0.60864,1.06504,0.62202,0.67564,0.00101,0.00101,0.00101
52,1020.34,1.30237,0.57972,0.79328,0.98673,0.96533,0.98284,0.59629,1.11185,0.46992,0.68334,0.0009902,0.0009902,0.0009902
53,1039.83,1.30286,0.58067,0.79908,0.96145,0.97403,0.98037,0.611,1.07309,1.36467,0.67872,0.0009704,0.0009704,0.0009704
54,1059.24,1.40919,0.59576,0.80898,0.98811,0.93939,0.98841,0.59055,1.13225,0.60556,0.68004,0.0009506,0.0009506,0.0009506
55,1078.54,1.27197,0.57913,0.78903,0.97786,0.95588,0.97419,0.58288,1.12456,1.43305,0.68404,0.0009308,0.0009308,0.0009308
56,1097.87,1.32284,0.58219,0.79072,0.95688,0.90909,0.97053,0.58081,1.14589,0.54058,0.68422,0.000911,0.000911,0.000911
57,1117.36,1.35323,0.58913,0.8076,0.9525,0.94805,0.97725,0.63063,1.05068,1.20648,0.67509,0.0008912,0.0008912,0.0008912
