epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,642.202,1.2288,0.64347,0.87921,0.9533,0.95238,0.98818,0.6049,1.05958,0.94654,0.73336,0.0011684,0.0011684,0.0011684
44,656.032,1.25212,0.64486,0.88693,0.96525,0.95238,0.98925,0.6179,1.00232,1.09965,0.72307,0.0011486,0.0011486,0.0011486
45,669.553,1.23454,0.65691,0.87449,0.98645,0.95671,0.99038,0.64785,0.95229,0.73945,0.71832,0.0011288,0.0011288,0.0011288
46,683.256,1.24884,0.64725,0.88012,0.95542,0.92769,0.98413,0.59279,1.06285,1.63655,0.73441,0.001109,0.001109,0.001109
47,696.811,1.26532,0.65855,0.87618,0.98479,0.95671,0.99059,0.65683,0.98199,0.90079,0.71996,0.0010892,0.0010892,0.0010892
48,710.392,1.26419,0.64171,0.86954,0.98349,0.95238,0.99059,0.67224,0.93177,2.01966,0.71494,0.0010694,0.0010694,0.0010694
49,723.627,1.20734,0.67796,0.86133,0.9915,0.94372,0.99123,0.61758,1.04234,1.08946,0.7313,0.0010496,0.0010496,0.0010496
50,736.914,1.20335,0.62937,0.85381,0.97385,0.96714,0.98996,0.66989,0.91717,1.47501,0.7153,0.0010298,0.0010298,0.0010298
51,750.312,1.21334,0.63208,0.87327,0.97805,0.96448,0.9907,0.6772,0.90833,1.41257,0.71436,0.00101,0.00101,0.00101
52,763.89,1.18117,0.60932,0.84838,0.98662,0.95739,0.99209,0.68486,0.9284,1.16141,0.7125,0.0009902,0.0009902,0.0009902
53,777.519,1.18499,0.63,0.86984,0.98966,0.96104,0.99217,0.65668,0.9706,0.89874,0.71946,0.0009704,0.0009704,0.0009704
54,791.051,1.19404,0.61986,0.86169,0.98214,0.97403,0.99299,0.63286,1.01438,0.75517,0.72745,0.0009506,0.0009506,0.0009506
55,804.543,1.17229,0.59506,0.8551,0.99085,0.94805,0.99188,0.61951,1.05023,0.64,0.73126,0.0009308,0.0009308,0.0009308
56,818.029,1.20743,0.67193,0.85744,0.98674,0.96627,0.99301,0.65147,0.99538,0.93174,0.72257,0.000911,0.000911,0.000911
57,831.616,1.19391,0.61173,0.86836,0.99113,0.96787,0.99273,0.68158,0.93601,0.73227,0.71298,0.0008912,0.0008912,0.0008912
